Date,Equity
19-11-2018,1095143.712
20-11-2018,1095143.712
21-11-2018,1095143.712
22-11-2018,1095143.712
23-11-2018,1095143.712
26-11-2018,1095143.712
27-11-2018,1095143.712
28-11-2018,1095143.712
29-11-2018,1095143.712
30-11-2018,1095143.712
03-12-2018,1095143.712
04-12-2018,1095143.712
05-12-2018,1095143.712
06-12-2018,1095143.712
07-12-2018,1095143.712
10-12-2018,1095143.712
11-12-2018,1095143.712
12-12-2018,1095143.712
13-12-2018,1095143.712
14-12-2018,1095143.712
17-12-2018,1095143.712
18-12-2018,1095143.712
19-12-2018,1095143.712
20-12-2018,1095143.712
21-12-2018,1095143.712
24-12-2018,1095143.712
25-12-2018,1095143.712
26-12-2018,1095143.712
27-12-2018,1095143.712
28-12-2018,1095143.712
31-12-2018,1095143.712
01-01-2019,1095143.712
02-01-2019,1095143.712
03-01-2019,1095143.712
04-01-2019,1095143.712
07-01-2019,1095143.712
08-01-2019,1097308.183
09-01-2019,1096831.187
10-01-2019,1099366.74
11-01-2019,1098965.211
14-01-2019,1102832.392
15-01-2019,1101247.774
16-01-2019,1105240.467
17-01-2019,1104890.577
18-01-2019,1102956.241
21-01-2019,1105678.162
22-01-2019,1102919.277
23-01-2019,1104117.385
24-01-2019,1105550.694
25-01-2019,1104101.301
28-01-2019,1101320.246
29-01-2019,1104752.555
30-01-2019,1105612.542
31-01-2019,1104494.293
01-02-2019,1111008.915
04-02-2019,1110489.63
05-02-2019,1110629.153
06-02-2019,1112474.948
07-02-2019,1116274.632
08-02-2019,1113524.862
11-02-2019,1113524.862
12-02-2019,1113524.862
13-02-2019,1113524.862
14-02-2019,1113404.966
15-02-2019,1111905.926
18-02-2019,1111939.754
19-02-2019,1113878.175
20-02-2019,1113444.585
21-02-2019,1115081.861
22-02-2019,1116337.448
25-02-2019,1112941.773
26-02-2019,1116553.939
27-02-2019,1117946.959
28-02-2019,1118534.053
01-03-2019,1116700.745
04-03-2019,1118251.945
05-03-2019,1118156.397
06-03-2019,1118156.397
07-03-2019,1118156.397
08-03-2019,1118156.397
11-03-2019,1118156.397
12-03-2019,1118156.397
13-03-2019,1118156.397
14-03-2019,1118156.397
15-03-2019,1118156.397
18-03-2019,1118156.397
19-03-2019,1118156.397
20-03-2019,1118156.397
21-03-2019,1118156.397
22-03-2019,1118156.397
25-03-2019,1118156.397
26-03-2019,1118156.397
27-03-2019,1118156.397
28-03-2019,1118156.397
29-03-2019,1118156.397
01-04-2019,1118156.397
02-04-2019,1118156.397
03-04-2019,1118156.397
04-04-2019,1118156.397
05-04-2019,1118156.397
08-04-2019,1118156.397
09-04-2019,1118156.397
10-04-2019,1118156.397
11-04-2019,1118156.397
12-04-2019,1118156.397
15-04-2019,1118156.397
16-04-2019,1118156.397
17-04-2019,1118156.397
18-04-2019,1118156.397
19-04-2019,1118156.397
22-04-2019,1118156.397
23-04-2019,1118156.397
24-04-2019,1118156.397
25-04-2019,1118156.397
26-04-2019,1118156.397
29-04-2019,1118156.397
30-04-2019,1118156.397
01-05-2019,1118156.397
02-05-2019,1118156.397
03-05-2019,1118156.397
06-05-2019,1118156.397
07-05-2019,1118156.397
08-05-2019,1118156.397
09-05-2019,1118156.397
10-05-2019,1118156.397
13-05-2019,1118156.397
14-05-2019,1118156.397
15-05-2019,1118156.397
16-05-2019,1118156.397
17-05-2019,1118156.397
20-05-2019,1118156.397
21-05-2019,1118156.397
22-05-2019,1118156.397
23-05-2019,1118156.397
24-05-2019,1118156.397
27-05-2019,1118156.397
28-05-2019,1120233.655
29-05-2019,1123120.998
30-05-2019,1119146.623
31-05-2019,1121425.502
03-06-2019,1122005.529
04-06-2019,1121645.619
05-06-2019,1122984.09
06-06-2019,1123759.258
07-06-2019,1125272.259
10-06-2019,1126883.889
11-06-2019,1124293.09
12-06-2019,1123663.419
13-06-2019,1126955.519
14-06-2019,1125262.726
17-06-2019,1125757.904
18-06-2019,1124292.803
19-06-2019,1128804.188
20-06-2019,1128368.97
21-06-2019,1129506.211
24-06-2019,1129733.772
25-06-2019,1133399.834
26-06-2019,1130855.395
27-06-2019,1129837.973
28-06-2019,1131320.502
01-07-2019,1133252.652
02-07-2019,1134055.266
03-07-2019,1133054.442
04-07-2019,1135108.185
05-07-2019,1136046.829
08-07-2019,1135406.814
09-07-2019,1133579.063
10-07-2019,1135961.307
11-07-2019,1135667.061
12-07-2019,1136756.602
15-07-2019,1139350.095
16-07-2019,1136458.666
17-07-2019,1139748.771
18-07-2019,1139666.037
19-07-2019,1139567.03
22-07-2019,1139567.03
23-07-2019,1139567.03
24-07-2019,1139567.03
25-07-2019,1139567.03
26-07-2019,1139567.03
29-07-2019,1139567.03
30-07-2019,1139567.03
31-07-2019,1139567.03
01-08-2019,1139567.03
02-08-2019,1139567.03
05-08-2019,1139567.03
06-08-2019,1139567.03
07-08-2019,1139567.03
08-08-2019,1139567.03
09-08-2019,1139567.03
12-08-2019,1139567.03
13-08-2019,1139567.03
14-08-2019,1139567.03
15-08-2019,1139567.03
16-08-2019,1139567.03
19-08-2019,1139567.03
20-08-2019,1139567.03
21-08-2019,1139567.03
22-08-2019,1139567.03
23-08-2019,1139567.03
26-08-2019,1139567.03
27-08-2019,1139567.03
28-08-2019,1139567.03
29-08-2019,1139567.03
30-08-2019,1139567.03
02-09-2019,1139567.03
03-09-2019,1139567.03
04-09-2019,1139567.03
05-09-2019,1139567.03
06-09-2019,1139567.03
09-09-2019,1139567.03
10-09-2019,1139567.03
11-09-2019,1139567.03
12-09-2019,1139567.03
13-09-2019,1139567.03
16-09-2019,1139567.03
17-09-2019,1139567.03
18-09-2019,1139567.03
19-09-2019,1139567.03
20-09-2019,1139567.03
23-09-2019,1139567.03
24-09-2019,1139567.03
25-09-2019,1139567.03
26-09-2019,1139567.03
27-09-2019,1139567.03
30-09-2019,1139567.03
01-10-2019,1139567.03
02-10-2019,1139567.03
03-10-2019,1139567.03
04-10-2019,1139567.03
07-10-2019,1139567.03
08-10-2019,1139567.03
09-10-2019,1139567.03
10-10-2019,1139567.03
11-10-2019,1139567.03
14-10-2019,1139567.03
15-10-2019,1139567.03
16-10-2019,1139567.03
17-10-2019,1139567.03
18-10-2019,1139567.03
21-10-2019,1139567.03
22-10-2019,1139567.03
23-10-2019,1139567.03
24-10-2019,1139567.03
25-10-2019,1139567.03
28-10-2019,1139567.03
29-10-2019,1139567.03
30-10-2019,1139567.03
31-10-2019,1139567.03
01-11-2019,1139567.03
04-11-2019,1139567.03
05-11-2019,1139567.03
06-11-2019,1139567.03
07-11-2019,1139567.03
08-11-2019,1139567.03
11-11-2019,1139567.03
12-11-2019,1139567.03
13-11-2019,1139567.03
14-11-2019,1139226.597
15-11-2019,1141859.999
18-11-2019,1143092.676
19-11-2019,1142669.249
20-11-2019,1144386.005
21-11-2019,1146299.738
22-11-2019,1147746.278
25-11-2019,1150139.56
26-11-2019,1146855.787
27-11-2019,1143497.861
28-11-2019,1143497.861
29-11-2019,1143497.861
02-12-2019,1143497.861
03-12-2019,1143274.29
04-12-2019,1143415.751
05-12-2019,1145273.875
06-12-2019,1146435.439
09-12-2019,1147652.618
10-12-2019,1144963.972
11-12-2019,1144298.215
12-12-2019,1148126.275
13-12-2019,1149042.697
16-12-2019,1149266.962
17-12-2019,1149163.346
18-12-2019,1149163.346
19-12-2019,1149163.346
20-12-2019,1149163.346
23-12-2019,1149163.346
24-12-2019,1149163.346
25-12-2019,1149163.346
26-12-2019,1149163.346
27-12-2019,1149163.346
30-12-2019,1149163.346
31-12-2019,1149163.346
01-01-2020,1149163.346
02-01-2020,1149163.346
03-01-2020,1149163.346
06-01-2020,1149163.346
07-01-2020,1149163.346
08-01-2020,1149163.346
09-01-2020,1149163.346
10-01-2020,1149163.346
13-01-2020,1149163.346
14-01-2020,1149163.346
15-01-2020,1149163.346
16-01-2020,1149163.346
17-01-2020,1149163.346
20-01-2020,1149163.346
21-01-2020,1149163.346
22-01-2020,1149163.346
23-01-2020,1149163.346
24-01-2020,1149163.346
27-01-2020,1149163.346
28-01-2020,1149163.346
29-01-2020,1149163.346
30-01-2020,1149163.346
31-01-2020,1149163.346
03-02-2020,1149163.346
04-02-2020,1149163.346
05-02-2020,1149163.346
06-02-2020,1149163.346
07-02-2020,1149163.346
10-02-2020,1149163.346
11-02-2020,1149163.346
12-02-2020,1149163.346
13-02-2020,1149163.346
14-02-2020,1149163.346
17-02-2020,1149163.346
18-02-2020,1149163.346
19-02-2020,1149163.346
20-02-2020,1149553.673
21-02-2020,1152051.344
24-02-2020,1151588.743
25-02-2020,1152860.167
26-02-2020,1152608.471
27-02-2020,1155551.487
28-02-2020,1150824.383
02-03-2020,1151179.83
03-03-2020,1153421.448
04-03-2020,1153074.142
05-03-2020,1153856.816
06-03-2020,1153295.388
09-03-2020,1152872.002
10-03-2020,1156400.494
11-03-2020,1160631.877
12-03-2020,1157832.067
13-03-2020,1160677.215
16-03-2020,1158897.038
17-03-2020,1158389.98
18-03-2020,1159135.323
19-03-2020,1158734.25
20-03-2020,1162093.89
23-03-2020,1159534.888
24-03-2020,1161081.765
25-03-2020,1161407.654
26-03-2020,1161636.708
27-03-2020,1163339.041
30-03-2020,1161739.931
31-03-2020,1164487.128
01-04-2020,1161034.877
02-04-2020,1164202.506
03-04-2020,1164349.303
06-04-2020,1166410.31
07-04-2020,1164161.52
08-04-2020,1169687.568
09-04-2020,1170455.463
10-04-2020,1170455.463
13-04-2020,1170455.463
14-04-2020,1170455.463
15-04-2020,1170455.463
16-04-2020,1170455.463
17-04-2020,1170455.463
20-04-2020,1170455.463
21-04-2020,1170455.463
22-04-2020,1170455.463
23-04-2020,1170455.463
24-04-2020,1170455.463
27-04-2020,1170455.463
28-04-2020,1170455.463
29-04-2020,1170455.463
30-04-2020,1170455.463
01-05-2020,1170455.463
04-05-2020,1170455.463
05-05-2020,1170455.463
06-05-2020,1170455.463
07-05-2020,1170455.463
08-05-2020,1170455.463
11-05-2020,1170455.463
12-05-2020,1170455.463
13-05-2020,1170455.463
14-05-2020,1170455.463
15-05-2020,1170455.463
18-05-2020,1170455.463
19-05-2020,1170455.463
20-05-2020,1170455.463
21-05-2020,1170455.463
22-05-2020,1170455.463
25-05-2020,1170455.463
26-05-2020,1170455.463
27-05-2020,1170455.463
28-05-2020,1170455.463
29-05-2020,1170455.463
01-06-2020,1170455.463
02-06-2020,1170455.463
03-06-2020,1170455.463
04-06-2020,1170455.463
05-06-2020,1170455.463
08-06-2020,1170455.463
09-06-2020,1170455.463
10-06-2020,1170455.463
11-06-2020,1170455.463
12-06-2020,1170455.463
15-06-2020,1170455.463
16-06-2020,1170455.463
17-06-2020,1170455.463
18-06-2020,1170455.463
19-06-2020,1170455.463
22-06-2020,1170455.463
23-06-2020,1170455.463
24-06-2020,1170455.463
25-06-2020,1170455.463
26-06-2020,1170455.463
29-06-2020,1168497.774
30-06-2020,1168291.299
01-07-2020,1167666.222
02-07-2020,1169221.104
03-07-2020,1171935.003
06-07-2020,1170908.347
07-07-2020,1170587.096
08-07-2020,1170519.065
09-07-2020,1173323.113
10-07-2020,1174446.623
13-07-2020,1173182.411
14-07-2020,1175839.669
15-07-2020,1173220.704
16-07-2020,1175777.634
